PLAYER_ID,PLAYER_NAME,TEAM,PROJECTED_AGE,PROJECTED_TS_PCT,HDI_LOW,HDI_HIGH
1630579,Jericho Sims,MIL,28.0,0.7090589009067539,0.677785324876014,0.7388692158703465
1629655,Daniel Gafford,DAL,28.0,0.6985195159826663,0.66812315046324,0.730101695056982
1629057,Robert Williams III,POR,29.0,0.6935369850495602,0.6594976677060905,0.7268405138127043
1641750,Ryan Kalkbrenner,CHA,25.0,0.6932851878468228,0.6364129308375482,0.7497724635476547
203939,Dwight Powell,DAL,35.0,0.6864890599123226,0.6554825429268318,0.7172287145039629
1629637,Jaxson Hayes,LAL,27.0,0.6811504392272538,0.6502749205819032,0.7141283811925848
1628436,Luke Kornet,SAS,31.0,0.6799712895810771,0.6452649170465479,0.7138746585478529
1628386,Jarrett Allen,CLE,29.0,0.664450280328497,0.6355973402677904,0.6958544693258708
1631109,Mark Williams,PHX,25.0,0.6605559445155632,0.6273903982780191,0.6945992147325347
1631105,Jalen Duren,DET,23.0,0.6604308998894498,0.6269585241827318,0.6950950149015294
1630168,Onyeka Okongwu,ATL,26.0,0.6597461058164529,0.6293762808795343,0.6902327718502721
203497,Rudy Gobert,MIN,35.0,0.6590069770298249,0.6287398888672251,0.6912312056857344
1630208,Nick Richards,CHI,29.0,0.6522225774360463,0.6200393809015696,0.6834212319996513
203999,Nikola Jokić,DEN,32.0,0.6519396469561244,0.6239598618338644,0.6836144394555186
1629674,Neemias Queta,BOS,27.0,0.6511112555264733,0.6140784548704614,0.6913572344198481
1642504,Cormac Ryan,MIL,28.0,0.6483448892341235,0.5906028819731215,0.7048778554268224
1642949,Yanic Konan Niederhäuser,LAC,24.0,0.6474254865560255,0.589770319520628,0.7046000191082135
1641747,DaRon Holmes II,DEN,24.0,0.6471404611812502,0.5908320155132724,0.7053779794064352
1628379,Luke Kennard,LAL,31.0,0.6444366617611967,0.6142212448043217,0.6752293268920468
1642396,Blake Hinson,UTA,27.0,0.6443759526515789,0.589306447867307,0.7007022830563511
1627826,Ivica Zubac,IND,30.0,0.6432621453081235,0.6132893219591026,0.6749823652199729
1629011,Mitchell Robinson,NYK,29.0,0.6431803601787418,0.6113737912393188,0.673844587205134
1630543,Isaiah Jackson,LAC,25.0,0.642529311746854,0.6074506299219414,0.6773166355110907
1631255,Karlo Matković,NOP,26.0,0.6415805035617917,0.5968868887539887,0.6874528766882677
1629651,Nic Claxton,BKN,28.0,0.6392193253150235,0.6086355321177415,0.6679928694626168
1627751,Jakob Poeltl,TOR,31.0,0.6376592035070319,0.6069860711137148,0.6678406396715143
1641737,Adem Bona,PHI,24.0,0.6363342176493447,0.5908570611570783,0.680890047718778
1627780,Gary Payton II,GSW,34.0,0.6357420669771172,0.6040357850866911,0.6653676679189853
1642866,Joan Beringer,MIN,20.0,0.6350517643166391,0.5779009889544219,0.6911512108596995
1628418,Thomas Bryant,CLE,29.0,0.6319975615029556,0.6016075296031688,0.6608524255416904
1629234,Drew Eubanks,SAC,30.0,0.6305171107450969,0.6006596710106955,0.660896064270262
1629028,Deandre Ayton,LAL,28.0,0.6302142263694764,0.5997560817739531,0.6598535267015309
1629627,Zion Williamson,NOP,26.0,0.6299289262724288,0.5961012296704307,0.6624001636578875
1628392,Isaiah Hartenstein,OKC,29.0,0.627883398221213,0.5979205411714905,0.658002940050713
1630559,Austin Reaves,LAL,29.0,0.6276605748812979,0.5974687373096382,0.6567795616779606
1629048,Goga Bitadze,ORL,27.0,0.6271558490731826,0.5965609390953374,0.6579428295905286
1631096,Chet Holmgren,OKC,25.0,0.6270850179278091,0.5874369163924212,0.6635504889951045
1641744,Zach Edey,MEM,25.0,0.6266415377143455,0.5795599178267014,0.6686899068662638
1627734,Domantas Sabonis,SAC,31.0,0.6249264669516863,0.5941814755525218,0.6550841215896546
1629750,Javonte Green,DET,33.0,0.6245381843042158,0.5930434125920522,0.655683764271498
203507,Giannis Antetokounmpo,MIL,32.0,0.6229049330643481,0.592013575229702,0.6546922820094587
1631218,Trayce Jackson-Davis,TOR,27.0,0.6221849588521148,0.5852813827019341,0.6619547902659133
1628983,Shai Gilgeous-Alexander,OKC,28.0,0.6202773116223559,0.5886012091280787,0.65050492646361
1630167,Obi Toppin,IND,29.0,0.6200472981591341,0.5894164905963254,0.6524024683457419
1631217,Moussa Diabaté,CHA,25.0,0.618615835403607,0.576687419111603,0.6640218494410087
1630611,Gui Santos,GSW,25.0,0.6186017832891993,0.5802935446627795,0.6563414348525177
1626157,Karl-Anthony Towns,NYK,31.0,0.6181928199403128,0.5885254101727149,0.6482165615952943
1630182,Josh Green,CHA,26.0,0.6173228493013634,0.5874290168963796,0.6488950760847665
1631260,AJ Green,MIL,27.0,0.6168018853056926,0.5850461960626601,0.6512492077090072
1631169,Josh Minott,BKN,24.0,0.6167933892764834,0.5740367798994787,0.6624155992737774
1630557,Corey Kispert,ATL,28.0,0.6167782130442931,0.5850332582413228,0.6461108382210285
1629021,Moritz Wagner,ORL,30.0,0.6161588195180356,0.5860537538159443,0.6474919801791138
1631250,Pete Nance,MIL,27.0,0.6160490217975392,0.5615176918163397,0.6733650300110542
1630188,Jalen Smith,CHI,27.0,0.615823641361224,0.5838936671537629,0.6462354054585114
1631131,Oscar Tshiebwe,UTA,27.0,0.6157984027891178,0.5710943666470998,0.6597650096384182
203954,Joel Embiid,PHI,33.0,0.6156373155621229,0.5852775380818823,0.6467627274310006
1628381,John Collins,LAC,29.0,0.6154905502049512,0.5863325216070415,0.6455726116486237
201142,Kevin Durant,HOU,38.0,0.6149902561876979,0.584328381214815,0.6463112340747313
1630573,Sam Hauser,BOS,29.0,0.6148723123933918,0.5802394307334092,0.6463727188563475
1628976,Wendell Carter Jr.,ORL,28.0,0.6145244191346344,0.5854840649511605,0.6470145361786105
