PLAYER_ID,SEASON_START_YEAR,TS_PCT,AGE,SEASON_FGA_EST,PREV_TS_PCT,PREV_SEASON
202681,2022,0.613,31.0,1206.0,0.592,2021.0
202681,2023,0.608,32.0,1131.0,0.613,2022.0
202681,2024,0.594,33.0,944.9999999999999,0.608,2023.0
202684,2024,0.41,34.0,72.0,0.567,2023.0
202685,2022,0.61,31.0,813.7,0.617,2021.0
202685,2023,0.619,32.0,721.6,0.61,2022.0
202685,2024,0.602,33.0,623.7,0.619,2023.0
202685,2025,0.63,34.0,390.0,0.602,2024.0
202687,2022,0.555,30.0,207.4,0.596,2021.0
202687,2023,0.562,31.0,132.0,0.555,2022.0
202687,2024,0.576,32.0,114.79999999999998,0.562,2023.0
202689,2022,0.543,33.0,56.699999999999996,0.537,2021.0
202691,2022,0.576,33.0,1248.9,0.547,2021.0
202691,2023,0.576,34.0,1131.8999999999999,0.576,2022.0
202691,2024,0.552,35.0,878.4,0.576,2023.0
202691,2025,0.541,36.0,731.4,0.552,2024.0
202692,2022,0.602,31.0,459.0,0.559,2021.0
202692,2023,0.536,32.0,567.6,0.602,2022.0
202692,2024,0.608,33.0,269.5,0.536,2023.0
202693,2022,0.553,33.0,115.5,0.547,2021.0
202693,2023,0.467,34.0,67.60000000000001,0.553,2022.0
202693,2024,0.385,35.0,70.5,0.467,2023.0
202694,2022,0.534,33.0,643.5,0.549,2021.0
202694,2023,0.558,34.0,264.6,0.534,2022.0
202695,2023,0.626,33.0,1162.8000000000002,0.623,2022.0
202695,2024,0.589,34.0,621.6,0.626,2023.0
202695,2025,0.629,35.0,1261.0,0.589,2024.0
202696,2022,0.594,32.0,1148.0,0.533,2021.0
202696,2023,0.54,33.0,1208.4,0.594,2022.0
202696,2024,0.611,34.0,1036.6,0.54,2023.0
202696,2025,0.574,35.0,800.0,0.611,2024.0
202699,2022,0.602,30.0,843.6,0.566,2021.0
202699,2023,0.576,31.0,952.0,0.602,2022.0
202699,2024,0.571,32.0,803.0,0.576,2023.0
202699,2025,0.574,33.0,661.5,0.571,2024.0
202704,2022,0.514,33.0,639.2,0.488,2021.0
202704,2023,0.521,34.0,754.4,0.514,2022.0
202704,2024,0.496,35.0,133.29999999999998,0.521,2023.0
202709,2022,0.558,31.0,353.40000000000003,0.579,2021.0
202709,2023,0.47,32.0,65.0,0.558,2022.0
202709,2024,0.547,33.0,155.0,0.47,2023.0
202710,2022,0.647,33.0,889.6,0.592,2021.0
202710,2023,0.626,34.0,792.0,0.647,2022.0
202710,2024,0.626,35.0,599.5,0.626,2023.0
202710,2025,0.646,36.0,463.59999999999997,0.626,2024.0
202711,2022,0.627,34.0,879.1,0.599,2021.0
202711,2023,0.581,35.0,678.3000000000001,0.627,2022.0
202722,2022,0.618,30.0,162.0,0.531,2021.0
202722,2023,0.583,31.0,232.20000000000002,0.618,2022.0
203076,2022,0.627,30.0,963.1999999999999,0.578,2021.0
203076,2023,0.621,31.0,1284.3999999999999,0.627,2022.0
203076,2024,0.588,32.0,907.8000000000001,0.621,2023.0
203076,2025,0.551,33.0,334.0,0.588,2024.0
203078,2022,0.593,30.0,880.0000000000001,0.539,2021.0
203078,2023,0.607,31.0,736.7,0.593,2022.0
203078,2024,0.598,32.0,694.3,0.607,2023.0
203081,2022,0.645,32.0,1200.6,0.55,2021.0
203081,2023,0.59,33.0,1277.5,0.645,2022.0
203081,2024,0.621,34.0,991.8000000000001,0.59,2023.0
203082,2022,0.544,32.0,466.20000000000005,0.515,2021.0
203083,2022,0.606,29.0,274.7,0.574,2021.0
203083,2023,0.576,30.0,481.9,0.606,2022.0
203083,2024,0.535,31.0,236.0,0.576,2023.0
203083,2025,0.539,32.0,333.9,0.535,2024.0
203084,2022,0.632,31.0,787.1999999999999,0.623,2021.0
203084,2023,0.611,32.0,729.8000000000001,0.632,2022.0
203084,2024,0.656,33.0,680.6,0.611,2023.0
203084,2025,0.608,34.0,577.5,0.656,2024.0
203085,2022,0.564,30.0,208.0,0.546,2021.0
203095,2022,0.471,30.0,164.7,0.554,2021.0
203095,2023,0.464,31.0,220.8,0.471,2022.0
203109,2022,0.624,32.0,93.60000000000001,0.541,2021.0
203109,2023,0.546,33.0,270.0,0.624,2022.0
203110,2022,0.592,33.0,474.5,0.582,2021.0
203110,2023,0.587,34.0,374.0,0.592,2022.0
203110,2024,0.534,35.0,510.0,0.587,2023.0
203110,2025,0.54,36.0,489.6,0.534,2024.0
203114,2022,0.551,31.0,405.90000000000003,0.577,2021.0
203114,2023,0.595,32.0,643.5,0.551,2022.0
203114,2024,0.588,33.0,336.7,0.595,2023.0
203114,2025,0.533,34.0,541.8,0.588,2024.0
203115,2022,0.493,32.0,364.0,0.548,2021.0
203200,2022,0.494,34.0,202.4,0.543,2021.0
203200,2023,0.598,35.0,191.39999999999998,0.494,2022.0
203210,2022,0.65,33.0,250.8,0.587,2021.0
203458,2024,0.525,32.0,64.39999999999999,0.625,2023.0
203468,2022,0.541,31.0,1342.5,0.553,2021.0
203468,2023,0.592,32.0,1056.0,0.541,2022.0
203468,2024,0.55,33.0,1002.3999999999999,0.592,2023.0
203468,2025,0.566,34.0,1155.2,0.55,2024.0
203469,2022,0.659,30.0,58.5,0.627,2021.0
203469,2023,0.483,31.0,60.199999999999996,0.659,2022.0
203471,2022,0.545,29.0,646.8000000000001,0.539,2021.0
203471,2023,0.55,30.0,928.0,0.545,2022.0
203471,2024,0.531,31.0,825.0,0.55,2023.0
203471,2025,0.526,32.0,630.0,0.531,2024.0
203473,2022,0.577,33.0,152.0,0.632,2021.0
203476,2022,0.493,33.0,117.8,0.624,2021.0
203482,2022,0.643,32.0,557.5999999999999,0.561,2021.0
203482,2023,0.661,33.0,499.20000000000005,0.643,2022.0
203482,2024,0.609,34.0,268.4,0.661,2023.0
203482,2025,0.59,35.0,96.6,0.609,2024.0
203484,2022,0.598,30.0,630.8000000000001,0.568,2021.0
203484,2023,0.602,31.0,585.2,0.598,2022.0
203484,2024,0.574,32.0,546.6999999999999,0.602,2023.0
203484,2025,0.533,33.0,367.2,0.574,2024.0
203486,2022,0.689,33.0,481.9,0.603,2021.0
203486,2023,0.621,34.0,151.79999999999998,0.689,2022.0
203486,2024,0.645,35.0,199.8,0.621,2023.0
203488,2022,0.608,31.0,289.79999999999995,0.63,2021.0
203488,2023,0.47,33.0,153.7,0.608,2022.0
203493,2022,0.577,32.0,468.0,0.558,2021.0
203493,2023,0.582,33.0,83.6,0.577,2022.0
203496,2022,0.584,32.0,230.39999999999998,0.572,2021.0
